date,title,category,page
2025-09-02,MASTER FORUM Sede Santiago y Viña del Mar,,2
2025-09-02,Presentación carreras Ingeniería Civil,,2
2025-09-16,SUSPENSION DE CLASES PARAESTUDIANTES PRIMER Y SEGUNDO CICLO,,2
2025-09-23,No hay evaluaciones académicas primer y segundo ciclo,,2
2025-09-30,Elección de carrera Ingeniería Civil,,2
2025-10-07,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B3 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B3,2
2025-10-14,Inicio del Período Desinscripción de Asignaturas Semestrales 2025‐2,,2
2025-10-14,Graduaciones Licenciatura 2025 ‐ Sede Santiago,,2
2025-10-21,Semana de la Investigación e Innovación UAI,,2
2025-10-21,Graduaciones Licenciatura 2025 ‐ Sede Santiago,,2
2025-10-21,"Último día para que profesores suban notas finales, Segundo Ciclo, período 2025‐B3",B3,2
2025-11-11,"Todo el Primer ciclo, y el segundo ciclo de Ingeniería Civil funciona como día viernes",,2
2025-11-18,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S2 (primer y segundo ciclo),S2,2
2025-11-25,"Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores, período 2025‐S2 (primer y segundo ciclo)",S2,2
2025-09-03,Evaluación Docente Temprana Asignaturas Semestrales periodo 2025‐S2 (primer y segundo ciclo),S2,2
2025-09-03,MASTER FORUM Sede Santiago y Viña del Mar,,2
2025-09-03,Presentación carreras Ingeniería Civil,,2
2025-09-17,SUSPENSION DE CLASES PARAESTUDIANTES PRIMER Y SEGUNDO CICLO,,2
2025-10-01,"Día de la Universidad, ambas sedes (suspensión de clases primer y segundo ciclo a partir del 4to módulo)",,2
2025-10-01,Inicio periodo postulación a Intercambios Periodo 2026‐S2,S2,2
2025-10-01,Evaluación Docente Cursos Bimestrales; Periodo 2025‐B3,B3,2
2025-10-08,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B3 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B3,2
2025-10-15,Graduaciones Licenciatura 2025 ‐ Sede Santiago,,2
2025-10-22,Semana de la Investigación e Innovación UAI,,2
2025-10-22,Graduaciones Licenciatura 2025 ‐ Sede Santiago,,2
2025-11-12,Elecciones Representantes Estudiantiles 2026,,2
2025-11-19,"Desinscripción de Asignaturas Bimestrales, Segundo Ciclo, Período 2025‐B4",B4,2
2025-11-19,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S2 (primer y segundo ciclo),S2,2
2025-11-26,"Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores, período 2025‐S2 (primer y segundo ciclo)",S2,2
2025-09-04,Evaluación Docente Temprana Asignaturas Semestrales periodo 2025‐S2 (primer y segundo ciclo),S2,2
2025-09-04,MASTER FORUM Sede Santiago y Viña del Mar,,2
2025-09-04,Presentación carreras Ingeniería Civil,,2
2025-09-11,Desinscripción de Asignaturas Cursos Bimestrales periodo 2025‐B3,B3,2
2025-09-18,FERIADO LEGAL,,2
2025-10-02,Evaluación Docente Cursos Bimestrales; Periodo 2025‐B3,B3,2
2025-10-09,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B3 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B3,2
2025-10-16,Graduaciones Licenciatura 2025 ‐ Sede Santiago,,2
2025-10-23,Semana de la Investigación e Innovación UAI,,2
2025-10-23,Graduaciones Licenciatura 2025 ‐ Sede Santiago,,2
2025-11-13,Elecciones Representantes Estudiantiles 2026,,2
2025-11-20,"Desinscripción de Asignaturas Bimestrales, Segundo Ciclo, Período 2025‐B4",B4,2
2025-11-20,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S2 (primer y segundo ciclo),S2,2
2025-11-27,"Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores, período 2025‐S2 (primer y segundo ciclo)",S2,2
2025-08-15,FERIADO LEGAL,,2
2025-09-05,Evaluación Docente Temprana Asignaturas Semestrales periodo 2025‐S2 (primer y segundo ciclo),S2,2
2025-09-05,MASTER FORUM Sede Santiago y Viña del Mar,,2
2025-09-05,Presentación carreras Ingeniería Civil,,2
2025-09-12,Desinscripción de Asignaturas Cursos Bimestrales periodo 2025‐B3,B3,2
2025-09-19,FERIADO LEGAL,,2
2025-09-26,Último día para solicitar anular estudios programas bimestrales periodo 2025‐B3 o presentar solicitudes de renuncia,B3,2
2025-10-03,Graduaciones Licenciatura 2025 ‐ Sede Viña del Mar,,2
2025-10-10,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B3 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B3,2
2025-10-17,Graduaciones Licenciatura 2025 ‐ Sede Viña del Mar,,2
2025-10-17,Graduaciones Licenciatura 2025 ‐ Sede Santiago,,2
2025-10-24,Semana de la Investigación e Innovación UAI,,2
2025-10-24,Graduaciones Licenciatura 2025 ‐ Sede Santiago,,2
2025-10-24,Graduaciones Licenciatura 2025‐ Sede Viña del Mar,,2
2025-10-31,FERIADO LEGAL,,2
2025-11-14,Término periodo de desinscripción de asignaturas semestrales 2025‐S2,S2,2
2025-11-14,Último día para solicitar anular estudios del segundo semestre o presentar solicitudes de renuncia,,2
2025-11-21,Último día para presentar solicitudes de cambio de sede o cambio de carrera para periodo 2026‐S1/B1,"B1,S1",2
2025-11-21,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S2 (primer y segundo ciclo),S2,2
2025-11-28,Inicio Período de Exámenes DERECHO,,2
2025-11-28,Último día para solicitar anular estudios programas bimestrales periodo 2025‐B4 o presentar solicitudes de renuncia,B4,2
2025-08-09,Último plazo Test Diagnóstico Inglés obligatorio para estudiantes admisión especial periodo 2025‐S2,S2,2
2025-09-06,Evaluación Docente Temprana Asignaturas Semestrales periodo 2025‐S2 (primer y segundo ciclo),S2,2
